VERTICES
0,-10,100
1,-10,105
2,0,115
3,5,115
4,-5,100
5,-5,105
6,0,110
7,5,110
8,10,105
9,10,100
10,5,95
11,0,95
12,100,115
13,105,115
14,115,105
15,115,100
16,95,100
17,95,105
18,100,110
19,105,110
20,110,105
21,110,100
22,105,95
23,100,95
24,115,5
25,115,0
26,105,-10
27,100,-10
28,95,0
29,95,5
30,100,10
31,105,10
32,110,5
33,110,0
34,105,-5
35,100,-5
36,5,-10
37,0,-10
38,-10,0
39,-10,5
40,-5,0
41,-5,5
42,0,10
43,5,10
44,10,5
45,10,0
46,5,-5
47,0,-5


EDGES
0,4,5
4,11,5
5,1,5
6,5,5
2,6,5
8,5,5
8,7,5
8,11,5
7,3,5
4,7,5
4,9,5
10,9,5
10,5,5
6,9,5
6,11,5
10,7,5
15,8,5
9,16,5
12,18,5
14,20,5
18,17,5
18,23,5
18,21,5
20,17,5
20,19,5
20,23,5
19,13,5
16,21,5
16,19,5
16,23,5
21,15,5
22,17,5
22,19,5
22,21,5
23,30,5
31,22,5
30,29,5
30,35,5
30,33,5
35,27,5
28,35,5
28,33,5
28,31,5
33,25,5
26,34,5
34,31,5
34,33,5
34,19,5
24,32,5
32,31,5
32,29,5
32,35,5
29,44,5
45,28,5
11,42,5
43,10,5
44,43,5
44,41,5
44,47,5
41,39,5
38,40,5
40,43,5
40,45,5
40,47,5
47,35,5
36,46,5
46,43,5
46,45,5
46,41,5
42,41,5
42,47,5
42,45,5
