VERTICES
0,-10,100
1,-10,105
2,0,115
3,5,115
4,-5,100
5,-5,105
6,0,110
7,5,110
8,10,105
9,10,100
10,5,95
11,0,95
12,100,115
13,105,115
14,115,105
15,115,100
16,95,100
17,95,105
18,100,110
19,105,110
20,110,105
21,110,100
22,105,95
23,100,95
24,115,5
25,115,0
26,105,-10
27,100,-10
28,95,0
29,95,5
30,100,10
31,105,10
32,110,5
33,110,0
34,105,-5
35,100,-5
36,5,-10
37,0,-10
38,-10,0
39,-10,5
40,-5,0
41,-5,5
42,0,10
43,5,10
44,10,5
45,10,0
46,5,-5
47,0,-5


EDGES
0,4,1,1,0.05
5,1,1,1,0.05
2,6,1,1,0.05
7,3,1,1,0.05
12,18,1,1,0.05
19,13,1,1,0.05
14,20,1,1,0.05
21,15,1,1,0.05
24,32,1,1,0.05
33,25,1,1,0.05
26,34,1,1,0.05
35,27,1,1,0.05
36,46,1,1,0.05
47,37,1,1,0.05
38,40,1,1,0.05
41,39,1,1,0.05
9,16,10,10,0.5
17,8,10,10,0.5
23,30,10,10,0.5
31,22,10,10,0.5
29,44,10,10,0.5
45,28,10,10,0.5
43,10,10,10,0.5
11,42,10,10,0.5
6,5,1,1,0.05
8,7,1,1,0.05
10,9,1,1,0.05
4,11,1,1,0.05
18,17,1,1,0.05
20,19,1,1,0.05
22,21,1,1,0.05
16,23,1,1,0.05
30,29,1,1,0.05
32,31,1,1,0.05
34,33,1,1,0.05
28,35,1,1,0.05
42,41,1,1,0.05
44,43,1,1,0.05
46,45,1,1,0.05
40,47,1,1,0.05
6,9,5,5,0.25
8,11,5,5,0.25
10,5,5,5,0.25
4,7,5,5,0.25
18,21,5,5,0.25
20,23,5,5,0.25
22,17,5,5,0.25
16,19,5,5,0.25
30,33,5,5,0.25
32,35,5,5,0.25
34,29,5,5,0.25
28,31,5,5,0.25
42,45,5,5,0.25
44,47,5,5,0.25
46,41,5,5,0.25
40,43,5,5,0.25
6,11,3,3,0.25
10,7,3,3,0.15
8,5,3,3,0.15
4,9,3,3,0.15
18,23,3,3,0.15
22,19,3,3,0.15
20,17,3,3,0.15
16,21,3,3,0.15
30,35,3,3,0.15
34,31,3,3,0.15
32,29,3,3,0.15
28,33,3,3,0.15
42,47,3,3,0.15
46,43,3,3,0.15
44,41,3,3,0.15
40,45,3,3,0.15
